,n_sim,n_p,n_p_f
885,221,3,2
886,221,5,1
887,221,6,1
888,222,2,2
889,222,3,2
890,222,5,1
891,222,6,1
892,223,2,2
893,223,3,1
894,223,5,2
895,223,6,1
896,224,2,1
897,224,3,2
898,224,5,1
899,224,6,1
900,225,2,1
901,225,3,2
902,225,5,1
903,225,6,2
904,226,2,1
905,226,3,1
906,226,5,1
907,226,6,2
908,227,2,2
909,227,3,1
910,227,5,1
911,227,6,2
912,228,2,1
913,228,3,1
914,228,5,1
915,228,6,1
916,229,2,1
917,229,3,1
918,229,5,1
919,229,6,2
920,230,2,1
921,230,3,2
922,230,5,1
923,230,6,1
924,231,2,2
925,231,3,1
926,231,5,1
927,231,6,1
928,232,2,2
929,232,3,1
930,232,5,1
931,232,6,1
932,233,2,1
933,233,3,1
934,233,5,1
935,233,6,1
936,234,2,2
937,234,3,2
938,234,5,1
939,234,6,2
940,235,2,2
941,235,3,1
942,235,5,1
943,235,6,1
944,236,2,1
945,236,3,2
946,236,5,1
947,236,6,2
948,237,2,2
949,237,3,1
950,237,5,1
951,237,6,1
952,238,2,1
953,238,3,1
954,238,5,2
955,238,6,2
956,239,2,2
957,239,3,1
958,239,5,1
959,239,6,2
960,240,2,1
961,240,3,1
962,240,5,1
963,240,6,1
964,241,2,1
965,241,3,1
966,241,5,1
967,241,6,1
968,242,2,1
969,242,3,1
970,242,5,1
971,242,6,1
972,243,2,1
973,243,3,2
974,243,5,2
975,243,6,2
976,244,2,1
977,244,3,1
978,244,5,1
979,244,6,2
980,245,2,2
981,245,3,2
982,245,5,1
983,245,6,1
984,246,2,2
985,246,3,1
986,246,5,1
987,246,6,1
988,247,2,1
989,247,3,1
990,247,5,1
991,247,6,2
992,248,2,1
993,248,3,1
994,248,5,2
995,248,6,1
996,249,2,1
997,249,3,1
998,249,5,1
999,249,6,2
1000,250,2,1
1001,250,3,1
1002,250,5,1
1003,250,6,1
1004,251,2,2
1005,251,3,1
1006,251,5,1
1007,251,6,1
1008,252,2,1
1009,252,3,1
1010,252,5,1
1011,252,6,1
1012,253,2,1
1013,253,3,1
1014,253,5,1
1015,253,6,1
1016,254,2,1
1017,254,3,1
1018,254,5,1
1019,254,6,1
1020,255,2,1
1021,255,3,1
1022,255,5,1
1023,255,6,1
1024,256,2,2
1025,256,3,2
1026,256,5,2
1027,256,6,2
1028,257,2,2
1029,257,3,2
1030,257,5,2
1031,257,6,1
1032,258,2,2
1033,258,3,1
1034,258,5,2
1035,258,6,1
1036,259,2,1
1037,259,3,1
1038,259,5,2
1039,259,6,2
1040,260,2,1
1041,260,3,2
1042,260,5,2
1043,260,6,1
1044,261,2,1
1045,261,3,1
1046,261,5,1
1047,261,6,1
1048,262,2,2
1049,262,3,1
1050,262,5,1
1051,262,6,1
